ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
439392	37399544	5	5
199860	4035782	4	4
441840	40482065	5	5
438112	4242336	6	6
441840	36717625	4	8
441840	45757114	4	8
441840	761507	5	7
440921	36686276	7	8
441840	3655648	4	10
441840	433178	4	6
141960	4210765	2	4
620313	4232521	1	1
433128	42536562	3	3
608815	601169	1	1
440921	4158855	3	3
444112	4298022	4	5
441840	4074464	6	6
620316	4135855	4	4
441840	4296199	5	7
441406	605035	3	3
440921	36715630	4	4
200452	43530926	2	5
444363	4164089	3	6
441840	132391	4	12
441840	4268876	8	9
440921	4136545	4	4
441840	4155479	5	8
441840	4087651	4	4
441840	37018892	2	2
441840	4172822	6	9
443783	601164	4	4
133298	36715633	3	3
441840	40492315	3	8
441840	42690226	6	6
441840	37309881	5	11
441840	4004392	3	3
441840	45766943	5	15
441840	618709	4	12
135930	4232079	4	11
441840	4083823	5	10
441840	764041	2	3
441840	37395696	5	7
441840	761160	4	7
80497	4097274	1	1
441840	35622881	5	6
441840	4131451	5	7
441840	4101639	5	7
620313	4163009	3	5
441840	40491512	7	13
441840	4165180	5	6
620313	4352135	6	8
441840	380844	9	9
375415	4294687	4	4
441840	4151302	5	5
441840	36716732	3	8
443392	436635	3	8
441840	4210765	3	8
441840	37207780	5	9
438112	4242361	3	4
619741	4096617	7	7
439392	4311486	3	4
441840	4179678	4	9
255919	3661942	6	9
140190	4028680	5	8
441840	46273178	5	8
440921	4151507	4	6
441840	201898	4	8
441840	36676221	7	8
77960	433040	7	9
193250	433515	2	3
441840	37310000	6	9
606876	606877	1	1
619741	433330	4	6
618877	42536718	2	2
441840	4177483	2	7
441840	42709811	5	8
135930	4190817	5	8
441840	4278101	4	6
438112	201804	4	7
441840	37110742	3	9
376106	36717574	4	6
255919	4112021	4	4
441840	37309700	7	10
441840	42535745	7	8
441840	761602	6	10
135930	4182287	4	4
441840	4299978	4	8
438028	4171959	2	3
137275	4019246	3	4
620056	4181436	6	6
441840	4301400	4	10
441840	42690655	7	7
432620	4059316	3	3
619741	4065912	5	6
441840	4263959	4	4
